feature,importance
başvurular süresi,3.2841368706547645
içtihadın oluştuğu,2.9667719654831473
başvurunun içtihadın,2.9661883414362054
alana değerlendirilerek,2.958459553578841
incelenmesine formu,2.955350266278211
beklenmeden incelenmesine,2.9457567629608397
oluştuğu alana,2.943366062601026
değerlendirilerek bakanlık,2.9401611754481003
cevabı beklenmeden,2.939545507207159
gönderilmiştir anayasa,2.932568857383206
bakanlık cevabı,2.9308963894010542
planında kamu,2.7649407532102686
içtihadın,2.743649646348393
beklenmeden,2.6927516443085775
cevabı,2.6249355270719725
alana,2.4521791944016096
hizmeti alanına,2.44344407257422
ekli tabloda,2.375303253175831
tabloda,2.3576199097264627
uyarınca başvurunun,2.3138143603314925
incelenmesine,2.2525174351619945
birleştirilmiştir,2.238734454461751
tablonun sütununda,2.1737317260484517
olgular başvurunun,2.138919551867037
gönderilmiştir adalet,2.0991060587931223
kamu hizmeti,2.0159040808721596
başvuruların edilebilirlik,1.9743195144649253
kamulaştırılması,1.9613130471166276
tespitine itiraz,1.9591247474119786
kadastro tespitine,1.9575268095596448
başvurular,1.912780480442322
imar planında,1.9117586650390415
ilişkindir başvurular,1.9098257873789404
sürmesi adil,1.906326773497617
nün numaralı,1.8817466025310141
oluştuğu,1.874158709910195
örneği görüş,1.804660240389886
başvurunun örneği,1.8041274195375454
değerlendirilerek,1.7947515071845679
kızıltepe,1.7846792485307414
özetle başvurucuların,1.7553935732214727
davanın uzun,1.73722978408773
planında,1.7352013600950489
yapılmasına konusu,1.6944664320806275
ekli,1.6850478023390147
uygulama imar,1.6554966350686655
içinde yapılmıştır,1.6403825212673038
gönderilmiştir formu,1.6347432272561697
kadastro,1.608084540670065
tablonun,1.605476976816819
mahkemesinde açtığı,1.5929764704107594
kurallarının,1.582825486140683
konularının aynı,1.5795295479063478
bildirilmiştir olaylar,1.5574885324096481
konularının,1.5530764876647911
3402,1.5168250194187909
numaraları belirtilen,1.5150303196222428
sütununda,1.510543163981179
hak özgürlüklerinin,1.4949868228122387
ekli tablonun,1.4938039757669248
komisyonca başvuruların,1.487711504985782
bakanlığına gönderilmiştir,1.459614065687739
aynı olması,1.439534246358349
sunulmayacağı,1.4143370788366916
görüş sunulmayacağı,1.4143370788366916
sunulmayacağı bildirilmiştir,1.4107079067412336
alanına,1.387429986633033
dosyaların,1.3867739521442335
yazısında anayasa,1.3697174348720615
adalet bakanlığının,1.366103205680707
anayasa çtüzüğü,1.3602352982301378
lgili 2011,1.3578200326136844
sürmesi makul,1.3464971130293
açtığı davada,1.3438765478689128
çtüzüğü nün,1.3405754931993927
gönderilmesine bölüm,1.3369119628262691
numaraları,1.3244418599706158
görüş adalet,1.3217180643269728
bölüm yapılmak,1.3211452734423936
belediyeye,1.3187472683934303
komisyonlara,1.317941028717179
çtüzüğü,1.317491100348251
olması sebebiyle,1.3126723271107004
incelemesi bölüm,1.30528193191269
uzun sürmesi,1.3031435101254019
başvuruların,1.2960171248112093
edilebilirlik incelemesi,1.2947576680606208
sürmesi,1.293802586674416
rayiç,1.2919410230004296
güvenlik soruşturması,1.2797281773723892
devam etmektedir,1.2699170104443418
çeşitli tarihlerde,1.2666498125889394
uygulanmasında,1.262734603853641
mahkemelerince,1.2626769442427719
olay olgular,1.2548588993848
soruşturması arşiv,1.252414925989024
ekleri başvuruya,1.2499292320866857
fıkrası uyarınca,1.2389948465297538
üzerinden yapılmasına,1.2384175519887126
yargılamanın uzun,1.2327618952313486
girdiği tarihten,1.2245952884994011
konusu olay,1.2210003922273263
yargılanma iddiasına,1.2185055741798836
dosyası birleştirilmesine,1.201869248535206
güvence altına,1.1823548080698014
mahkemesinde açılan,1.1808655584380965
özgürlüklerinin,1.1786779035952542
kapatılmasına,1.1738917341783175
umumi,1.171880422166117
uyularak,1.16142050726131
kurumlara,1.160530422731771
ödenmesi istemiyle,1.1526397431617408
üzere dosyanın,1.137776432064296
2942,1.1234935391706298
yapılmıştır dari,1.1217440239589749
dari yönden,1.1120058391875904
sürede yargılanma,1.1004966629105946
atfen görüş,1.0993439277413195
dosyası içeriğinden,1.0977307276445263
yargılama dosyası,1.094629771937921
ayrılan,1.0919981816435822
altına alınan,1.0915064916305006
erişim iddiasına,1.0911989001391955
görüşlerine atfen,1.087555211038726
incelemede başvurunun,1.0834739901901784
sunulan görüşlerine,1.0833974316578683
beş yıllık,1.0832965892474178
kapsamda sunulan,1.0776236548573905
yapılmasına belgelerinin,1.0771853224556045
ön incelemede,1.0747531091325033
güvence,1.0744063344714716
kararlarına kapsamda,1.0742880221823299
dosyalarının,1.0736805210903393
birleştirilmesine incelemenin,1.0733556589949806
kısmen kabulüne,1.0656577233869218
davalara,1.0643405115405908
mahkemesinin önceki,1.062385218885563
önceki kararlarına,1.0581596001807565
bölüm başkanı,1.0568973474457204
başkanı başvurunun,1.0564255871788282
mahkemesine bireysel,1.056237175424183
yargılanma edildiğini,1.0535537332755496
bireysel dosyası,1.051370753326541
birlikte yapılmasına,1.045918895458441
incelemesinin birlikte,1.0441245280521008
hizmeti,1.0413188707727787
adalet bakanlığına,1.010304080225982
belgelerinin örneği,1.0092276041175339
içeriğinden tespit,1.0065227490893918
örneği bilgi,1.0055846755694704
bilgi adalet,1.0055375240476998
görüşlerine,1.0019289950754278
uzun,0.9974410637663986
sosyal risk,0.9961960787761583
atfen,0.9948408563758555
esas incelemesinin,0.9915503657157307
belgelerinin,0.9898438901376299
süresi içinde,0.9896370338851961
parsel numaralı,0.9781660258328877
örneği,0.974563010120014
derece mahkemesinin,0.9725433868812381
tespitine,0.9667469320430717
6100 muhakemeleri,0.9640381794134623
davanın kısmen,0.9631100197111326
konu yargılama,0.9601458138218657
feshi,0.9578237033807468
bozmaya,0.9545323279429478
bakanlığına,0.9534553767220153
gönderilmiştir,0.953280396220828
birleştirilmesine,0.949625310657316
edilebilirlik esas,0.9441483670179007
maliki,0.9436244232822943
2019 yapılmıştır,0.9435846972822599
makul sürede,0.9427993643824548
vakfın,0.9411057532498788
yerel,0.9342437029062776
davacının iş,0.9330547697685976
nihai hükmü,0.9274014974444205
20 2018,0.9144528290277147
